JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440569.5	6.2			Vis.	OV								V				X CYG		STD				
2440569.6	6.1			Vis.	BRJ								V				X CYG		STD				
2440572.5	6.4			Vis.	BRJ								V				X CYG		STD				
2440573.5	7.1			Vis.	BRJ								V				X CYG		STD				
2440576.5	7.2			Vis.	BRJ								V				X CYG		STD				
2440584.5	6.8			Vis.	BRJ								V				X CYG		STD				
2440584.5	6.8			Vis.	OV								V				X CYG		STD				
2440597.5	7.2			Vis.	BRJ								V				X CYG		STD				
2440597.5	7.4			Vis.	OV								V				X CYG		STD				
2440598.5	7.2			Vis.	OV								V				X CYG		STD				
2440601.5	6.1			Vis.	BRJ								V				X CYG		STD				
2440602.5	6.1			Vis.	BRJ								V				X CYG		STD				
2440673.9	6.9			Vis.	OV								V				X CYG		STD				
2440680.9	7.2			Vis.	OV								V				X CYG		STD				
2440692.8	7.2			Vis.	OV								V				X CYG		STD				
2440737.7	6.8			Vis.	OV								V				X CYG		STD				
2440745.469	6.9			Vis.	LKS								V				X CYG		STD				
2440751.478	6.1			Vis.	LKS								V				X CYG		STD				
2440751.7	6.6			Vis.	OV								V				X CYG		STD				
2440752.491	6.4			Vis.	LKS								V				X CYG		STD				
2440752.6	6.6			Vis.	OV								V				X CYG		STD				
2440753.478	6.2			Vis.	LKS								V				X CYG		STD				
2440755.478	6.1			Vis.	LKS								V				X CYG		STD				
2440756.478	6.4			Vis.	LKS								V				X CYG		STD				
2440757.5	6.5			Vis.	LKS								V				X CYG		STD				
2440758.502	6.3			Vis.	LKS								V				X CYG		STD				
2440758.6	7.2			Vis.	OV								V				X CYG		STD				
2440759.5	6.5			Vis.	LKS								V				X CYG		STD				
2440759.8	7.1			Vis.	CR								V				X CYG		STD				
2440760.6	7.3			Vis.	OV								V				X CYG		STD				
2440760.7	7.1			Vis.	BRJ								V				X CYG		STD				
2440761.6	7.3			Vis.	OV								V				X CYG		STD				
2440761.7	7.2			Vis.	BRJ								V				X CYG		STD				
