JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440372.7	9.3			Vis.	LX								V				S VUL		STD				
2440376.7	9.2			Vis.	LX								V				S VUL		STD				
2440377.7	9.3			Vis.	AC								V				S VUL		STD				
2440380.7	9.4			Vis.	LX								V				S VUL		STD				
2440382.7	9.5			Vis.	LX								V				S VUL		STD				
2440382.8	9.4			Vis.	AC								V				S VUL		STD				
2440384.7	9.4			Vis.	LX								V				S VUL		STD				
2440385.7	9.4			Vis.	AC								V				S VUL		STD				
2440386.8	9.7			Vis.	CR								V				S VUL		STD				
2440387.7	9.4			Vis.	AC								V				S VUL		STD				
2440389.7	9.4			Vis.	AC								V				S VUL		STD				
2440389.7	9.3			Vis.	LX								V				S VUL		STD				
2440394.7	9.6			Vis.	LX								V				S VUL		STD				
2440401.7	9.6			Vis.	LX								V				S VUL		STD				
2440402.7	9.4			Vis.	AC								V				S VUL		STD				
2440403.7	9.4			Vis.	AC								V				S VUL		STD				
2440404.7	9.5			Vis.	LX								V				S VUL		STD				
2440405.7	9.4			Vis.	AC								V				S VUL		STD				
2440408.7	9.3			Vis.	LX								V				S VUL		STD				
2440411.7	9.3			Vis.	LX								V				S VUL		STD				
2440417.7	8.6			Vis.	LS								V				S VUL		STD				
2440417.7	9.1			Vis.	LX								V				S VUL		STD				
2440419.7	9.2			Vis.	LX								V				S VUL		STD				
2440422.7	9.4			Vis.	AC								V				S VUL		STD				
2440426.9	9.5			Vis.	AC								V				S VUL		STD				
2440427.6	9.2			Vis.	LX								V				S VUL		STD				
2440435.7	9.5			Vis.	AC								V				S VUL		STD				
2440438.7	9.5			Vis.	AC								V				S VUL		STD				
2440439.7	9.5			Vis.	HE								V				S VUL		STD				
2440444.7	9.7			Vis.	AC								V				S VUL		STD				
2440445.7	9.3			Vis.	LX								V				S VUL		STD				
2440453.6	9.4			Vis.	LX								V				S VUL		STD				
2440454.6	9.7			Vis.	AC								V				S VUL		STD				
2440456.6	9.5			Vis.	LS								V				S VUL		STD				
2440456.7	9.7			Vis.	AC								V				S VUL		STD				
2440465.6	9.7			Vis.	AC								V				S VUL		STD				
2440467.6	9.7			Vis.	AC								V				S VUL		STD				
2440471.6	9.6			Vis.	LX								V				S VUL		STD				
2440474.6	9.6			Vis.	LX								V				S VUL		STD				
2440477.6	9.5			Vis.	LS								V				S VUL		STD				
2440479.6	9.2			Vis.	LX								V				S VUL		STD				
2440481.7	9.7			Vis.	AC								V				S VUL		STD				
2440483.7	8.6			Vis.	FD								V				S VUL		STD				
2440483.7	9.0			Vis.	LX								V				S VUL		STD				
2440485.6	9.0			Vis.	LX								V				S VUL		STD				
2440487.6	9.0			Vis.	LX								V				S VUL		STD				
2440491.6	9.1			Vis.	LX								V				S VUL		STD				
2440493.6	9.0			Vis.	LX								V				S VUL		STD				
2440495.5	8.9			Vis.	OV								V				S VUL		STD				
2440497.6	9.7			Vis.	AC								V				S VUL		STD				
2440499.7	9.0			Vis.	LX								V				S VUL		STD				
2440500.7	8.6			Vis.	FD								V				S VUL		STD				
2440503.6	9.2			Vis.	LX								V				S VUL		STD				
2440503.8	9.4			Vis.	CR								V				S VUL		STD				
2440509.5	9.1			Vis.	LX								V				S VUL		STD				
2440512.6	9.2			Vis.	LX								V				S VUL		STD				
2440512.7	9.7			Vis.	AC								V				S VUL		STD				
2440517.6	9.3			Vis.	LX								V				S VUL		STD				
2440522.6	9.4			Vis.	LX								V				S VUL		STD				
2440523.5	9.9			Vis.	AC								V				S VUL		STD				
2440525.6	9.5			Vis.	LX								V				S VUL		STD				
2440530.6	9.9			Vis.	AC								V				S VUL		STD				
2440538.6	10.0			Vis.	AC								V				S VUL		STD				
2440541.6	9.5			Vis.	LX								V				S VUL		STD				
