JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2454276.46875	5.95			Vis.	SSW	T	552	598	TYCHO		0		Z				S SGE		STD				
2454277.40972	6.0			Vis.	RJG		59	65	P2001		0		Z				S SGE		STD				
2454277.41181	5.9			Vis.	CAI		55	59	P2001		0		Z				S SGE		STD				
2454278.3806	5.6			Vis.	CME	M        							Z				S SGE		STD				
2454279.3507	5.2			Vis.	BSR	AS	55	57					Z				S SGE		STD				
2454279.3669	5.3			Vis.	DAT		TYC1623-02647	TYC1616-01861	K				Z				S SGE	AAVSO	STD				
2454279.3931	5.3			Vis.	SYI	TO	51	55		S SGE = 5.34 MAG			Z				S SGE		STD				
2454279.45278	5.6			Vis.	RJG		55	59	P2001		0		Z				S SGE		STD				
2454279.45347	5.7			Vis.	CAI		55	59	P2001		0		Z				S SGE		STD				
2454280.39722	5.6			Vis.	RJG	M	55	59	P2001		0		Z				S SGE		STD				
2454280.39861	5.5			Vis.	CAI	M	52	55	P2001		0		Z				S SGE		STD				
2454281.3743	5.4			Vis.	RZM		50	55	ATLAS		0		Z				S SGE		STD				
2454281.42153	5.4			Vis.	RJG	M	52	55	P2001		0		Z				S SGE		STD				
2454281.42361	5.5			Vis.	CAI	M	52	55	P2001		0		Z				S SGE		STD				
2454285.3743	5.9			Vis.	RZM		55	57	ATLAS		0		Z				S SGE		STD				
2454286.3431	5.7			Vis.	BSR	A	58	55					Z				S SGE		STD				
2454286.41250	5.9			Vis.	RJG		55	59	P2001		0		Z				S SGE		STD				
2454286.41458	6.0			Vis.	CAI		59	65	P2001		0		Z				S SGE		STD				
2454286.4368	5.5			Vis.	CME		NA		NA				Z				S SGE		STD				
2454287.45486	5.4			Vis.	RJG		52	55	P2001		0		Z				S SGE		STD				
2454287.45694	5.3			Vis.	CAI		52	55	P2001		0		Z				S SGE		STD				
2454288.43819	5.4			Vis.	RJG	U	52	55	P2001		0		Z				S SGE		STD				
2454288.44028	5.3			Vis.	CAI	U	52	55	P2001		0		Z				S SGE		STD				
