JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2440527.7	3.7			Vis.	GRN								V				ZET GEM		STD				
2440531.7	3.8			Vis.	AC								V				ZET GEM		STD				
2440534.7	3.9			Vis.	GRN								V				ZET GEM		STD				
2440540.7	3.6			Vis.	BRG								V				ZET GEM		STD				
2440541.7	3.7			Vis.	BRG								V				ZET GEM		STD				
2440542.9	4.4			Vis.	CR								V				ZET GEM		STD				
2440544.9	3.8			Vis.	AC								V				ZET GEM		STD				
2440545.9	3.9			Vis.	AC								V				ZET GEM		STD				
2440548.7	3.8			Vis.	GRN								V				ZET GEM		STD				
2440552.7	4.1			Vis.	GRN								V				ZET GEM		STD				
2440557.0	3.4			Vis.	AC								V				ZET GEM		STD				
2440558.7	3.7			Vis.	RNT								V				ZET GEM		STD				
2440559.8	3.8			Vis.	CR								V				ZET GEM		STD				
2440560.0	3.8			Vis.	AC								V				ZET GEM		STD				
2440563.8	4.3			Vis.	CR								V				ZET GEM		STD				
2440567.7	3.8			Vis.	AC								V				ZET GEM		STD				
2440569.6	3.7			Vis.	GRN								V				ZET GEM		STD				
2440569.9	3.8			Vis.	CR								V				ZET GEM		STD				
2440570.6	3.9			Vis.	AC								V				ZET GEM		STD				
2440585.7	3.8			Vis.	CR								V				ZET GEM		STD				
2440598.6	3.9			Vis.	AC								V				ZET GEM		STD				
2440599.6	3.6			Vis.	HDG								V				ZET GEM		STD				
2440604.6	4.0			Vis.	HDG								V				ZET GEM		STD				
2440604.9	3.7			Vis.	AC								V				ZET GEM		STD				
2440616.5	3.7			Vis.	HDG								V				ZET GEM		STD				
2440616.9	3.2			Vis.	AC								V				ZET GEM		STD				
2440617.6	3.7			Vis.	HDG								V				ZET GEM		STD				
2440618.6	3.6			Vis.	HDG								V				ZET GEM		STD				
2440620.6	3.7			Vis.	CR								V				ZET GEM		STD				
2440620.6	3.7			Vis.	HDG								V				ZET GEM		STD				
2440622.6	4.0			Vis.	HDG								V				ZET GEM		STD				
2440623.6	4.1			Vis.	HDG								V				ZET GEM		STD				
2440625.7	3.8			Vis.	CR								V				ZET GEM		STD				
2440626.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440627.6	3.6			Vis.	HDG								V				ZET GEM		STD				
2440628.6	3.7			Vis.	HDG								V				ZET GEM		STD				
2440630.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440632.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440636.7	3.9			Vis.	CR								V				ZET GEM		STD				
2440637.5	3.7			Vis.	HDG								V				ZET GEM		STD				
2440638.5	3.6			Vis.	HDG								V				ZET GEM		STD				
2440638.7	3.8			Vis.	SKL								V				ZET GEM		STD				
2440639.6	3.6			Vis.	HDG								V				ZET GEM		STD				
2440640.5	3.7			Vis.	HDG								V				ZET GEM		STD				
2440640.6	3.9			Vis.	CR								V				ZET GEM		STD				
2440641.5	3.8			Vis.	HDG								V				ZET GEM		STD				
2440642.7	3.9			Vis.	SKL								V				ZET GEM		STD				
2440643.6	4.1			Vis.	HDG								V				ZET GEM		STD				
2440644.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440645.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440649.6	3.7			Vis.	HDG								V				ZET GEM		STD				
2440650.6	3.6			Vis.	HDG								V				ZET GEM		STD				
2440652.6	3.8			Vis.	HDG								V				ZET GEM		STD				
2440653.6	4.1			Vis.	HDG								V				ZET GEM		STD				
2440656.6	3.7			Vis.	HDG								V				ZET GEM		STD				
2440657.6	3.7			Vis.	AC								V				ZET GEM		STD				
2440659.6	3.6			Vis.	HDG								V				ZET GEM		STD				
2440660.6	3.7			Vis.	HDG								V				ZET GEM		STD				
2440661.6	3.7			Vis.	GRN								V				ZET GEM		STD				
2440663.5	4.3			Vis.	RNR								V				ZET GEM		STD				
2440666.6	3.6			Vis.	HDG								V				ZET GEM		STD				
2440667.7	3.7			Vis.	HDG								V				ZET GEM		STD				
2440669.7	3.8			Vis.	SKL								V				ZET GEM		STD				
