JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2457534.52778	4.4			Vis.	TSCB		44	37	10 star tutorial	My first observation. EOS 550D  f=32 mm Piggy Back Kepler Warte at Goetheanum CH			Z				ETA AQL	AAVSO	STD				
2457536.71736	3.97			Vis.	MDP	U	37	44	10 STAR				Z				ETA AQL	RASC	STD				
2457537.72014	3.65			Vis.	MDP	U	34	37	10 STAR				Z				ETA AQL	RASC	STD				
2457538.5403	3.8			Vis.	DXAA		34	45	X16267FS	UNAIDED EYE			Z				ETA AQL	AASABADELL	STD				
2457538.55556	3.7			Vis.	PMB		3.2	3.7	10 Star Tutorial				Z				ETA AQL	AAVSO	STD				
2457538.6653	3.7			Vis.	CADA	K	37	40	ATLAS	BSC			Z				ETA AQL	NEOA-JBS	STD				
2457538.72708	3.8			Vis.	BBA		3.7	4.0	TEN STAR				Z				ETA AQL	AAVSO	STD				
2457538.78472	4.1			Vis.	MCPA		44	37	10 star				Z				ETA AQL	AAVSO	STD				
2457538.79559	4.817	0.016		B	SAH		ENSEMBLE		6054AK		0		Z				ETA AQL	AAVSO	STD				
2457538.79875	3.915	0.015		V	SAH		ENSEMBLE		6054AK		0		Z				ETA AQL	AAVSO	STD				
2457538.80230	3.325	0.018		R	SAH		ENSEMBLE		6054AK		0		Z				ETA AQL	AAVSO	STD				
2457538.80546	3.030	0.010		I	SAH		ENSEMBLE		6054AK		0		Z				ETA AQL	AAVSO	STD				
2457539.72986	4.0			Vis.	MDP		37	44	10 STAR				Z				ETA AQL	RASC	STD				
2457540.0708	3.4			Vis.	BKRC		34		x16231ds	novice observer			Z				ETA AQL		STD				
2457540.71875	4.2			Vis.	MDP		37	44	10 STAR				Z				ETA AQL	RASC	STD				
2457541.78667	3.579	0.020		R	SAH		ENSEMBLE		6054AK		0		Z				ETA AQL	AAVSO	STD				
2457541.78978	3.274	0.017		I	SAH		ENSEMBLE		6054AK		0		Z				ETA AQL	AAVSO	STD				
2457541.79296	5.100	0.024		B	SAH		ENSEMBLE		6054AK		0		Z				ETA AQL	AAVSO	STD				
2457541.79624	4.176	0.018		V	SAH		ENSEMBLE		6054AK		0		Z				ETA AQL	AAVSO	STD				
