JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2457657.33	5.0			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457658.30	4.8			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457658.4326	4.8			Vis.	AAX	K	46	50	ATLAS	BSC			Z				W SGR	NEOA-JBS	STD				
2457659.30	5.0			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457659.4368	4.9			Vis.	AAX	KZ	46	50	ATLAS	BSC			Z				W SGR	NEOA-JBS	STD				
2457659.5146	5.1			Vis.	WSN		4.6	5.0	10196zz				Z				W SGR	AAVSO	STD				
2457660.29	4.7			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457660.4299	4.5			Vis.	AAX	K	42	46	ATLAS	BSC			Z				W SGR	NEOA-JBS	STD				
2457660.57708	4.3			Vis.	BBA		4.2	4.6	14436ESJ				Z				W SGR	AAVSO	STD				
2457661.31	5.0			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457661.33333	4.5			Vis.	RJG	L	36	49	SA1986				Z				W SGR	AAVSO	STD				
2457661.33681	4.5			Vis.	CAI	L	36	49	SA1986				Z				W SGR	AAVSO	STD				
2457664.33	5.1			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457665.32	5.3			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457665.5164	5.1			Vis.	WSN		4.6		10196zz				Z				W SGR	AAVSO	STD				
2457668.29	4.5			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457668.5076	4.5			Vis.	WSN		4.2	4.6	10196zz				Z				W SGR	AAVSO	STD				
2457670.52917	4.7			Vis.	BBA	UB	4.6	4.7	14436ERS				Z				W SGR	AAVSO	STD				
2457671.56111	4.8			Vis.	BBA	B	4.7	5.0	14436ERS				Z				W SGR	AAVSO	STD				
2457672.5104	5.1			Vis.	WSN		4.6	5.0	10196zz				Z				W SGR	AAVSO	STD				
2457676.4556	4.7			Vis.	AAX	BK	46	50	ATLAS	MOON BSC			Z				W SGR	NEOA-JBS	STD				
2457680.27	5.0			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457683.28	4.9			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457684.28	4.4			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457685.50833	4.6			Vis.	BBA	B	4.6	4.7	14436ERS				Z				W SGR	AAVSO	STD				
2457688.26	5.3			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457689.26	5.2			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457689.4653	4.9			Vis.	AAX	K	46	50	ATLAS	BSC			Z				W SGR	NEOA-JBS	STD				
2457690.4653	4.7			Vis.	AAX	K	46	50	ATLAS	BSC			Z				W SGR	NEOA-JBS	STD				
2457691.27	4.9			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457692.26	4.8			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457694.26	5.0			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457695.26	5.2			Vis.	VED		NA		NA				Z				W SGR	AFOEV	STD				
2457803.7958	4.8			Vis.	AAX	BK	46	50	ATLAS	MOON BSC			Z				W SGR	NEOA-JBS	STD				
2457809.3181	5.0			Vis.	PEX		50		13158LAZ				Z				W SGR	AAVSO	STD				
2457818.3146	5.2			Vis.	PEX		50		13158LAZ				Z				W SGR	AAVSO	STD				
2457823.3514	5.0			Vis.	PEX		50		13158LAZ				Z				W SGR	AAVSO	STD				
2457832.3701	5.0			Vis.	PEX	B	50		13158LAZ				Z				W SGR	AAVSO	STD				
2457837.8583	4.6			Vis.	AAX	K	42	46	ATLAS	BSC			Z				W SGR	NEOA-JBS	STD				
2457839.3563	5.0			Vis.	PEX		50		13158LAZ				Z				W SGR	AAVSO	STD				
2457840.3125	5.0			Vis.	PEX		50		13158LAZ				Z				W SGR	AAVSO	STD				
2457841.3097	5.2			Vis.	PEX		50	55	13158LAZ				Z				W SGR	AAVSO	STD				
2457843.3063	4.4			Vis.	PEX		46		13158LAZ				Z				W SGR	AAVSO	STD				
2457845.3444	4.9			Vis.	PEX		46	50	13158LAZ				Z				W SGR	AAVSO	STD				
2457846.3465	4.9			Vis.	PEX		46	50	13158LAZ				Z				W SGR	AAVSO	STD				
2457847.3208	5.0			Vis.	PEX		50		13158LAZ				Z				W SGR	AAVSO	STD				
2457855.8139	4.7			Vis.	AAX	BK	46	50	ATLAS	MOON BSC			Z				W SGR	NEOA-JBS	STD				
2457857.8181	4.5			Vis.	AAX	BK	42	46	ATLAS	MOON BSC			Z				W SGR	NEOA-JBS	STD				
2457862.3507	5.0			Vis.	PEX	B	50		13158LAZ				Z				W SGR	AAVSO	STD				
2457864.2958	5.0			Vis.	PEX	B	50		13158LAZ				Z				W SGR	AAVSO	STD				
2457866.2778	4.9			Vis.	PEX		46	50	13158LAZ				Z				W SGR	AAVSO	STD				
