Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |trigger_time           |t90     |t90_error|t90_start|fluence   |fluence_error|flux_1024|flux_1024_error|flux_1024_time|flux_64  |flux_64_error|flnc_band_ampl|flnc_band_ampl_pos_err|flnc_band_ampl_neg_err|flnc_band_epeak|flnc_band_epeak_pos_err|flnc_band_epeak_neg_err|flnc_band_alpha|flnc_band_alpha_pos_err|flnc_band_alpha_neg_err|flnc_band_beta|flnc_band_beta_pos_err|flnc_band_beta_neg_err|flnc_spectrum_start|flnc_spectrum_stop|pflx_best_fitting_model|pflx_best_model_redchisq|flnc_best_fitting_model|flnc_best_model_redchisq|
|GRB140616165|06 59 45.6|-70 30 36|2014-06-16 03:57:05.133|   0.512|    0.821|   -0.032|2.8079e-07|   3.3486e-08|   2.4842|         0.2149|        -0.032|   9.3523|       1.5401|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                   |                  |                       |                        |                       |                        |
|GRB130505955|22 57 52.8|-70 28 12|2013-05-05 22:55:15.943|  50.241|    8.009|    0.384|9.8730e-06|   2.8203e-07|   4.0901|         0.2740|         0.003|   6.6107|       1.3576|  4.289694e-03|          2.807866e-04|          2.807866e-04|   1.047319e+03|           2.374300e+02|           2.374300e+02|  -7.748815e-01|           8.590738e-02|           8.590738e-02| -5.274684e+00|          3.174861e+01|          3.174861e+01|             -1.024|            30.720|pflx_comp              |                   1.146|flnc_comp              |                   1.157|
|GRB171020813|15 38 24.0|-70 09 36|2017-10-20 19:30:32.606|  19.200|    1.950|   -1.536|1.9737e-06|   3.1556e-08|   2.2830|         0.3051|         4.288|   5.1985|       1.4304|  9.830216e-03|          3.476819e-03|          3.476819e-03|   6.907344e+01|           1.084414e+01|           1.084414e+01|  -1.063568e+00|           2.398989e-01|           2.398989e-01| -2.814436e+00|          3.186267e+01|          3.186267e+01|             -1.024|            11.264|pflx_plaw              |                   1.010|flnc_comp              |                   0.872|
|GRB100429999|05 56 21.6|-69 57 36|2010-04-29 23:59:51.640|  25.024|    6.582|  -12.800|2.7847e-06|   4.3148e-08|   2.4032|         0.1568|         0.640|   4.2172|       0.7228|  5.313074e-03|          9.133723e-04|          9.133723e-04|   2.161082e+02|           5.142189e+01|           5.142189e+01|  -7.956460e-01|           1.330563e-01|           1.330563e-01| -2.325466e+00|          1.078450e+00|          1.078450e+00|             -1.024|            20.480|pflx_plaw              |                   1.084|flnc_comp              |                   0.977|
|GRB160716144|12 38 26.4|-68 02 24|2016-07-16 03:26:50.296|  28.928|    1.280|   -3.328|2.8781e-06|   3.1222e-08|   3.1553|         0.2327|        19.456|   6.2968|       1.2156|  5.584588e-03|          9.200576e-04|          9.200576e-04|   1.346466e+02|           1.592231e+01|           1.592231e+01|  -1.076884e+00|           9.726677e-02|           9.726677e-02| -8.434940e+00|          3.990754e+03|          3.990754e+03|             -4.096|            24.576|pflx_plaw              |                   1.049|flnc_comp              |                   1.016|
|GRB180906759|18 00 28.8|-67 40 12|2018-09-06 18:12:25.937|  13.309|    1.055|    0.003|3.6221e-06|   1.7578e-08|   6.7234|         0.2476|         0.064|   8.2532|       1.0080|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                   |                  |                       |                        |                       |                        |
|GRB100605774|18 13 43.2|-67 36 00|2010-06-05 18:35:10.744|   8.192|    2.862|   -1.024|7.5654e-07|   2.1743e-08|   1.9399|         0.2057|        -0.128|   3.5646|       0.9522|  3.019176e-02|          2.090930e-02|          2.090930e-02|   1.220556e+02|           2.057400e+01|           2.057400e+01|   4.111103e-01|           4.132640e-01|           4.132640e-01| -5.173023e+00|          1.745412e+01|          1.745412e+01|             -1.024|             4.096|pflx_plaw              |                   1.053|flnc_plaw              |                   1.205|
|GRB110316139|03 06 48.0|-67 34 48|2011-03-16 03:19:41.863|   2.944|    2.199|   -3.008|1.1497e-07|   3.3169e-08|   1.3288|         0.2080|        -0.704|   5.1593|       1.2745|  9.704318e-03|          2.912492e-03|          2.912492e-03|   1.982939e+03|           3.120319e+03|           3.120319e+03|  -9.986588e-01|           3.455798e-01|           3.455798e-01| -8.714062e+00|          3.425192e+04|          3.425192e+04|             -0.128|            -0.064|pflx_plaw              |                   1.096|flnc_plaw              |                   1.094|
|GRB150404733|11 03 38.4|-67 22 12|2015-04-04 17:35:03.719|   4.864|    1.950|   -0.768|6.1093e-07|   2.9136e-08|   3.2063|         0.2534|         0.064|   5.0884|       1.2954|  1.923569e-02|          9.392573e-03|          9.392573e-03|   8.516070e+01|           1.407395e+01|           1.407395e+01|  -8.258899e-01|           2.199470e-01|           2.199470e-01| -1.527519e+01|          1.085140e+07|          1.085140e+07|             -1.024|             2.048|pflx_plaw              |                   0.902|flnc_comp              |                   0.951|
|GRB180723133|08 40 07.2|-67 09 00|2018-07-23 03:10:49.337|   3.072|    0.923|   -0.768|5.2896e-07|   1.4984e-08|   2.8577|         0.2245|        -0.576|   3.9015|       1.4882|              |                      |                      |               |                       |                       |               |                       |                       |              |                      |                      |                   |                  |                       |                        |                       |                        |
