MCXC,OName,AName,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RAdeg,DEdeg,GLON,GLAT,z,Cat,Sub-Cat,Scale,L500,M500,R500,Notes,Cat1,Cat2,Cat3,Cat4,L500r1,L500r2,L500r3,L500r4,r
J1204.3-0350,RX J1204.3-0350,VMF98 113,12,4,22.9,-,3,50,55,181.095,-3.849,280.997,57.006,0.261,160SD,160SD,4.035,0.261986,0.748,0.5865,RDCS/SSHARC/WARPS2,WARPSII,SHARC_SOUTH,,,1.012,1.069,,,
J1204.4+0154,RXCJ1204.4+0154,MKW4,12,4,25.2,,1,54,2,181.105,1.901,276.889,62.371,0.0199,NORAS/REFLEX,REFLEX,0.403,0.167122,0.6772,0.6158,,BCS,,,,1.162,,,,-0.4993421727384962
J1204.9+2237,RXC J1204.9+2237,A1466,12,4,57.7,,22,37,0,181.24,22.617,233.573,78.541,0.2519,NORAS/REFLEX,NORAS,3.932,1.150595,1.8572,0.7969,,,,,,,,,,
J1205.0-0332,RX J1205.0-0333,BSe RXJ1205.0-0332,12,5,2.9,-,3,32,31,181.262,-3.542,281.098,57.35,0.368,SHARC,SHARC_SOUTH,5.101,0.240296,0.6514,0.5381,,WARPSII,,,,1.238,,,,
J1205.2+3920,RXC J1205.2+3920,RXJ1205.1+3920,12,5,12.5,,39,20,58,181.302,39.349,158.23,74.447,0.0381,NORAS/REFLEX,NORAS,0.755,0.34025,1.0322,0.7047,,BCS,,,,0.901,,,,-0.4907745878882779
J1205.5+4419,WARP J1205.5+4419,,12,5,33.0,,44,19,9,181.387,44.319,148.156,70.494,0.3384,WARPS,WARPSII,4.832,0.349007,0.8378,0.5918,,,,,,,,,,
J1205.8+4429,WARP J1205.8+4429,RX J1205.8+4429 (BSHARC2),12,5,51.8,,44,29,14,181.466,44.487,147.749,70.38,0.5921,WARPS,WARPSII,6.644,1.47437,1.6324,0.6694,,,,,,,,,,
J1206.1+4419,WARP J1206.1+4419,,12,6,6.7,,44,19,28,181.528,44.325,147.891,70.542,0.2946,WARPS,WARPSII,4.398,0.247587,0.7038,0.5676,,,,,,,,,,
J1206.2-0848,RXCJ1206.2-0848,,12,6,12.5,-,8,48,22,181.552,-8.806,284.403,52.431,0.4414,NORAS/REFLEX,REFLEX,5.696,17.58485,8.4019,1.2266,,MACS_BRIGHT,,,,1.216,,,,
J1206.4+2215,RXC J1206.4+2215,PGC 038401,12,6,28.0,,22,15,9,181.617,22.253,236.013,78.688,0.0656,NORAS/REFLEX,NORAS,1.259,0.15356,0.6237,0.5906,,,,,,,,,,-0.47748211679848857
J1206.5-0744,BVH2007 140,VMF98 114,12,6,33.6,-,7,44,24,181.64,-7.74,284.03,53.477,0.068,400SD,400SD_SER,1.302,0.212334,0.7588,0.63,,160SD,,,,1.014,,,,-0.47638926725976494
J1206.6+2811,RXC J1206.6+2811,NGC 4104,12,6,37.4,,28,11,1,181.656,28.184,204.275,80.024,0.0283,NORAS/REFLEX,NORAS,0.568,0.076411,0.4179,0.5229,,BCS,,,,1.557,,,,-0.4954028052906585
J1206.9+7139,RXC J1206.9+7139,A1470,12,6,58.3,,71,39,27,181.743,71.658,127.858,45.043,0.1912,NORAS/REFLEX,NORAS,3.185,1.504147,2.2909,0.8734,,,,,,,,,,
J1208.3-2937,MS1205.7-2921,,12,8,18.0,-,29,37,60,182.075,-29.633,291.837,32.307,0.171,EMSS,EMSS_1994,2.912,0.539869,1.2452,0.7179,,,,,,,,,,
J1210.3+0523,RXC J1210.3+0523,ZwCl4905,12,10,18.8,,5,23,6,182.578,5.385,276.86,66.153,0.0748,NORAS/REFLEX,NORAS,1.42,0.739334,1.616,0.8088,,BCS,,,,0.821,,,,-0.47300314585685715
J1210.7-4644,RXC J1210.7-4644,S0689,12,10,44.2,-,46,44,18,182.684,-46.738,295.712,15.562,0.032,CIZA,CIZAII,0.639,0.202347,0.7549,0.6361,,,,,,,,,,-0.49364188769115636
J1211.0+3519,RXC J1211.0+3519,A1483,12,11,2.0,,35,19,57,182.758,35.332,166.873,78.101,0.138,NORAS/REFLEX,NORAS,2.438,0.962224,1.8147,0.8232,,,,,,,,,,
J1211.2+3911,BVH2007 141,"VMF98 115, MS1208.7+3928",12,11,16.1,,39,11,41,182.817,39.195,155.149,75.316,0.34,400SD,400SD_SER,4.847,1.575258,2.0973,0.803,,EMSS_1994,160SD,SHARC_BRIGHT,WARPSII,0.771,0.864,0.871,1.096,
J1212.3-1816,RXCJ1212.3-1816,,12,12,18.9,-,18,16,43,183.079,-18.279,290.059,43.613,0.269,NORAS/REFLEX,REFLEX,4.124,5.644133,4.8327,1.0892,X,,,,,,,,,
J1212.3+2733,BVH2007 142,A1489,12,12,19.2,,27,33,14,183.08,27.554,207.883,81.305,0.353,400SD,400SD_SER,4.967,6.412871,4.8848,1.0592,a part of A1489,,,,,,,,,
J1212.9+2727,BVH2007 143,A1489,12,12,59.0,,27,27,13,183.246,27.454,208.548,81.453,0.179,400SD,400SD_SER,3.022,0.97602,1.776,0.8058,a part of A1489,,,,,,,,,
J1213.5+0253,BVH2007 144,VMF98 116,12,13,34.3,,2,53,57,183.393,2.899,280.815,64.133,0.409,400SD,400SD_SER,5.446,1.100758,1.5931,0.7136,,160SD,,,,1.024,,,,
J1215.4-3900,RXCJ1215.4-3900,,12,15,29.0,-,39,0,55,183.871,-39.015,295.335,23.326,0.119,NORAS/REFLEX,REFLEX,2.148,1.834651,2.7267,0.9489,,,,,,,,,,
J1216.3+2633,BVH2007 145,VMF98 117,12,16,19.9,,26,33,21,184.083,26.556,215.12,82.15,0.428,400SD,400SD_SER,5.595,1.293605,1.7304,0.7282,,160SD,,,,1.027,,,,
J1217.2+6940,WARP J1217.2+6940,,12,17,14.6,,69,40,11,184.311,69.67,127.289,47.168,0.107,WARPS,WARPSII,1.958,0.036944,0.2542,0.432,,,,,,,,,,
J1217.6+0339,RXC J1217.6+0339,Zw 1215.1+0400,12,17,40.6,,3,39,45,184.419,3.662,282.504,65.186,0.0766,NORAS/REFLEX,NORAS,1.451,2.744796,3.5915,1.0548,,BCS,,,,1.099,,,,-0.47214235591184206
J1217.7+4729,BVH2007 146,,12,17,43.7,,47,29,14,184.432,47.487,138.679,68.597,0.27,400SD,400SD_SER,4.135,1.799222,2.4049,0.8628,,,,,,,,,,
J1217.8+2255,BVH2007 147,,12,17,48.5,,22,55,16,184.452,22.921,240.01,81.301,0.14,400SD,400SD_SER,2.468,0.227663,0.7524,0.6134,,,,,,,,,,
J1218.4+4013,RXC J1218.4+4013,,12,18,28.9,,40,13,6,184.62,40.218,148.368,75.24,0.3038,NORAS/REFLEX,NORAS,4.493,4.425047,4.0532,1.014,,,,,,,,,,
J1218.4+3011,RX J1218.4+3011,VMF98 118,12,18,29.1,,30,11,46,184.621,30.196,187.995,82.15,0.368,160SD,160SD,5.101,0.342905,0.8091,0.5784,RDCS/RIXOS/WARPS2,WARPSII,,,,1.655,,,,
J1219.3-1315,RXCJ1219.3-1315,A1520,12,19,19.8,-,13,15,36,184.832,-13.26,291.007,48.867,0.0688,NORAS/REFLEX,REFLEX,1.316,0.93527,1.8728,0.8512,,,,,,,,,,-0.4759488931199902
J1220.2+7522,BVH2007 148,NGC4291,12,20,17.3,,75,22,12,185.072,75.37,125.555,41.599,0.0059,400SD,400SD_SER,0.122,0.001108,0.0321,0.2237,,,,,,,,,,-0.5061284927515795
J1220.9+1810,WARP J1220.9+1810,,12,20,55.7,,18,10,32,185.232,18.176,263.211,78.619,0.4294,WARPS,WARPSII,5.606,1.045536,1.518,0.6967,,,,,,,,,,
J1221.4+4918,BVH2007 149,VMF98 119,12,21,25.0,,49,18,7,185.354,49.302,135.567,67.083,0.7,400SD,400SD_SER,7.146,4.885149,3.0916,0.7933,,160SD,,,,1.045,,,,
J1222.0+2709,BVH2007 150,,12,22,1.9,,27,9,19,185.508,27.155,211.017,83.459,0.472,400SD,400SD_SER,5.916,1.921205,2.1231,0.7662,,,,,,,,,,
J1222.1+7526,RX J1222.1+7526,MS1219.9+7542,12,22,7.0,,75,26,17,185.529,75.438,125.389,41.55,0.24,SHARC,SHARC_BRIGHT,3.794,0.336721,0.8861,0.6254,,EMSS_1994,,,,2.173,,,,
J1222.2+2559,BVH2007 151,,12,22,16.3,,25,59,40,185.568,25.994,221.149,83.381,0.16,400SD,400SD_SER,2.758,0.194059,0.6727,0.5869,,,,,,,,,,
J1223.1+1037,RXC J1223.1+1037,NGC 4325,12,23,6.5,,10,37,26,185.777,10.624,279.579,72.199,0.0258,NORAS/REFLEX,NORAS,0.519,0.122964,0.5594,0.5767,,BCS,,,,1.687,,,,-0.4964868554840839
J1224.2+7531,BVH2007 152,NGC4386,12,24,17.5,,75,31,39,186.073,75.527,125.191,41.481,0.0056,400SD,400SD_SER,0.115,0.000153,0.0096,0.1497,,,,,,,,,,-0.5062333913672936
J1224.6+3159,RXC J1224.6+3159,SHK 245,12,24,40.2,,31,59,11,186.167,31.986,171.472,82.421,0.063,NORAS/REFLEX,NORAS,1.213,0.155272,0.6291,0.5928,,,,,,,,,,-0.47880713667960456
J1225.2+3213,RXC J1225.2+3213,,12,25,12.0,,32,13,45,186.3,32.229,169.515,82.355,0.0594,NORAS/REFLEX,NORAS,1.148,0.342342,1.0213,0.6975,,,,,,,,,,-0.48055128079318826
J1226.3+6224,BVH2007 153,,12,26,22.1,,62,24,38,186.592,62.411,127.924,54.474,0.398,400SD,400SD_SER,5.357,1.032857,1.5464,0.7096,,,,,,,,,,
J1226.9+3332,BVH2007 154,"CL J1226.9+3332, 1WGA J1226.9+3332",12,26,57.6,,33,32,50,186.74,33.547,160.872,81.692,0.888,400SD,400SD_SER,7.761,11.252921,4.3857,0.8273,,WARPSII,,,,1.266,,,,
J1227.1+1951,RXC J1227.1+1951,MS 1224.7+2007,12,27,6.0,,19,51,14,186.775,19.854,264.18,80.836,0.3241,NORAS/REFLEX,NORAS,4.695,5.297243,4.4502,1.0381,,EMSS_2004,,,,0.254,,,,
J1227.2+0858,BVH2007 155,RX J1227.2+0858 (SSHARC),12,27,14.2,,8,58,15,186.809,8.971,284.318,70.963,0.0873,400SD,400SD_SER,1.634,0.116484,0.5192,0.5517,,WARPSII,SHARC_SOUTH,,,1.175,1.831,,,-0.46688260574764623
J1227.4+0849,RXC J1227.4+0849,A1541,12,27,28.0,,8,49,44,186.867,8.829,284.608,70.843,0.0896,NORAS/REFLEX,NORAS,1.672,0.494315,1.2514,0.7391,B,SHARC_BRIGHT,,,,1.164,,,,-0.4657258977153264
J1227.8+6322,RXC J1227.8+6322,A1544,12,27,50.5,,63,22,59,186.96,63.383,127.376,53.541,0.1454,NORAS/REFLEX,NORAS,2.547,1.245988,2.113,0.8638,,,,,,,,,,
J1228.8+1924,RXC J1228.8+1924,A1548,12,28,52.8,,19,24,28,187.22,19.408,267.91,80.706,0.161,NORAS/REFLEX,NORAS,2.772,1.044463,1.8759,0.8258,,,,,,,,,,
J1229.0+4737,RXC J1229.0+4737,A1550,12,29,2.2,,47,37,30,187.259,47.625,133.527,69.04,0.254,NORAS/REFLEX,NORAS,3.956,3.320813,3.5386,0.9871,,,,,,,,,,
J1229.9+1147,RXC J1229.9+1147,A1552,12,29,59.2,,11,47,21,187.497,11.789,283.722,73.855,0.0852,NORAS/REFLEX,NORAS,1.598,0.622518,1.4447,0.7765,o,,,,,,,,,-0.46788346987214047
J1230.2+2326,BVH2007 156,,12,30,14.2,,23,26,4,187.559,23.434,249.396,83.95,0.221,400SD,400SD_SER,3.565,0.6199,1.3045,0.7163,,,,,,,,,,
J1230.7+3439,RXC J1230.7+3439,,12,30,43.0,,34,39,18,187.679,34.655,152.2,81.262,0.3331,NORAS/REFLEX,NORAS,4.782,5.818125,4.6781,1.052,,,,,,,,,,
J1230.7+1033,RXC J1230.7+1033,A1553,12,30,47.0,,10,33,38,187.696,10.561,285.59,72.733,0.165,NORAS/REFLEX,NORAS,2.828,4.160606,4.3444,1.0911,,BCS,,,,0.975,,,,
J1230.7+1220,Virgo,Virgo,12,30,47.3,,12,20,13,187.697,12.337,283.807,74.437,0.0036,BCS,BCS,0.074,0.425069,1.2092,0.7508,,,,,,,,,,-0.5068375138357444
J1231.0+0037,RXC J1231.0+0037,NGC 4493,12,31,5.6,,0,37,44,187.773,0.629,291.651,63.054,0.0232,NORAS/REFLEX,NORAS,0.468,0.022346,0.1981,0.4084,,,,,,,,,,-0.49769074545321823
J1231.3+8225,RXC J1231.3+8225,,12,31,23.9,,82,25,41,187.85,82.428,123.734,34.669,0.2053,NORAS/REFLEX,NORAS,3.368,2.099382,2.7776,0.9267,,,,,,,,,,
J1231.7+4137,BVH2007 157,,12,31,45.6,,41,37,11,187.94,41.62,137.233,74.958,0.176,400SD,400SD_SER,2.981,0.346667,0.9469,0.6541,,,,,,,,,,
J1232.8+2605,RX J1232.8+2605,,12,32,48.4,,26,5,39,188.202,26.094,225.825,85.709,0.22,SHARC,SHARC_BRIGHT,3.552,0.700255,1.4062,0.7347,,,,,,,,,,
J1233.9+1525,MS1231.3+1542,,12,33,55.4,,15,25,56,188.481,15.432,282.862,77.616,0.238,EMSS,EMSS_1994,3.77,1.584168,2.2815,0.8578,,,,,,,,,,
J1234.2+0947,RXC J1234.2+0947,Zw 1231.4+1007,12,34,16.0,,9,47,1,188.566,9.783,288.977,72.188,0.229,NORAS/REFLEX,NORAS,3.662,3.567656,3.769,1.0173,,BCS,,,,1.449,,,,
J1234.2-3856,RXCJ1234.2-3856,,12,34,16.9,-,38,56,34,188.571,-38.943,299.287,23.808,0.2373,NORAS/REFLEX,REFLEX,3.762,6.244121,5.2683,1.134,X *,,,,,,,,,
J1235.1+4117,BVH2007 158,A1565,12,35,6.5,,41,17,44,188.777,41.296,135.217,75.441,0.189,400SD,400SD_SER,3.156,0.430329,1.0699,0.6782,,,,,,,,,,
J1235.9+2742,WARP J1235.9+2742,,12,35,57.0,,27,42,42,188.988,27.712,202.409,86.514,0.3821,WARPS,WARPSII,5.224,0.632514,1.1618,0.649,Contaminated? See WARPSII paper sect. 3.2.,,,,,,,,,
J1236.4+1631,RXC J1236.4+1631,A1569,12,36,24.1,,16,31,42,189.1,16.528,283.977,78.843,0.078,NORAS/REFLEX,NORAS,1.476,0.55266,1.3503,0.761,,,,,,,,,,-0.4714476062717717
J1236.4+1224,BVH2007 159,IC3574,12,36,28.6,,12,24,21,189.119,12.406,288.807,74.866,0.0667,400SD,400SD_SER,1.279,0.03976,0.2734,0.4485,,,,,,,,,,-0.47690318105488194
J1236.5+0051,RX J1236.5+0051,VMF98 121,12,36,31.4,,0,51,43,189.131,0.862,294.555,63.491,0.205,160SD,160SD,3.364,0.084442,0.3916,0.4824,RDCS,,,,,,,,,
J1236.7-3354,RXCJ1236.7-3354,S0700,12,36,44.7,-,33,54,10,189.186,-33.903,299.451,28.87,0.0796,NORAS/REFLEX,REFLEX,1.503,0.755934,1.6327,0.8103,,,,,,,,,,-0.4706826048620143
J1236.7-3531,RXCJ1236.7-3531,S0701,12,36,46.5,-,35,31,58,189.194,-35.533,299.577,27.244,0.0736,NORAS/REFLEX,REFLEX,1.4,0.512317,1.2932,0.7512,,,,,,,,,,-0.4735929742138398
J1236.9+2550,BVH2007 160,RX J1236.9+2550,12,36,56.9,,25,50,27,189.237,25.841,233.774,86.512,0.175,400SD,400SD_SER,2.967,0.308583,0.8827,0.6392,,WARPSII,,,,0.934,,,,
J1236.9+6311,RXC J1236.9+6311,A1576,12,36,59.0,,63,11,26,189.246,63.191,125.695,53.86,0.3019,NORAS/REFLEX,NORAS,4.474,7.051162,5.393,1.1161,,eBCS,400SD_NONSER,,,0.915,1.014,,,
J1237.6+2632,RX J1237.6+2632,VMF98 123,12,37,38.6,,26,32,23,189.411,26.54,222.977,86.867,0.278,160SD,160SD,4.223,0.245624,0.7096,0.5727,BMW,,,,,,,,,
J1240.2-4825,RXC J1240.2-4825,,12,40,13.7,-,48,25,58,190.057,-48.433,301.013,14.397,0.152,CIZA,CIZAI,2.643,4.890162,4.8403,1.1362,,,,,,,,,,
J1240.4-1147,WARP J1240.4-1147,,12,40,25.0,-,11,47,35,190.104,-11.793,298.645,50.987,0.193,WARPS,WARPSII,3.208,0.215663,0.7,0.5879,,,,,,,,,,
J1241.3+1834,RXC J1241.3+1834,A1589,12,41,19.1,,18,34,16,190.33,18.571,287.183,81.132,0.073,NORAS/REFLEX,NORAS,1.389,0.875003,1.7931,0.8378,,BCS,,,,1.411,,,,-0.4739018552780713
J1241.5+3250,RX J1241.5+3250,,12,41,33.2,,32,50,23,190.388,32.84,142.869,83.901,0.39,SHARC,SHARC_BRIGHT,5.29,2.7505,2.8284,0.8704,,,,,,,,,,
J1242.8+0241,RXC J1242.8+0241,NGC 4636,12,42,49.5,,2,41,8,190.706,2.686,297.745,65.471,0.0031,NORAS/REFLEX,NORAS,0.064,0.010027,0.1231,0.3506,L,,,,,,,,,-0.5068521918659581
J1243.3+2716,RXC J1243.3+2716,A1602,12,43,22.8,,27,16,32,190.845,27.276,207.768,88.202,0.194,NORAS/REFLEX,NORAS,3.222,2.069583,2.7771,0.9304,,eBCS,,,,1.236,,,,
J1244.0+1653,MS1241.5+1710,,12,44,1.6,,16,53,42,191.007,16.895,293.04,79.624,0.549,EMSS,EMSS_2004,6.406,4.100588,3.1592,0.8486,,,,,,,,,,
J1244.6-1159,RXCJ1244.6-1159,A1606,12,44,38.0,-,11,59,7,191.158,-11.985,300.296,50.852,0.0963,NORAS/REFLEX,REFLEX,1.784,1.375433,2.3246,0.9066,,,,,,,,,,-0.46237166296977406
J1246.0+7057,MS1244.2+7114,ZwCl5434?,12,46,5.2,,70,57,52,191.522,70.965,123.562,46.157,0.225,EMSS,EMSS_1994,3.614,2.063762,2.7077,0.9124,,,,,,,,,,
J1247.3+5500,RXC J1247.3+5500,A1616,12,47,22.2,,55,0,39,191.843,55.011,124.178,62.108,0.083,NORAS/REFLEX,NORAS,1.561,0.353877,1.0254,0.6931,,,,,,,,,,-0.4690126966171152
J1247.7-0548,WARP J1247.7-0548,,12,47,43.2,-,5,48,57,191.93,-5.816,301.232,57.044,0.2928,WARPS,WARPSII,4.38,0.241987,0.695,0.5657,,,,,,,,,,
J1247.7-0247,RXCJ1247.7-0247,A1612,12,47,43.2,-,2,47,32,191.93,-2.792,301.071,60.066,0.1797,NORAS/REFLEX,REFLEX,3.031,2.417195,3.0859,0.9685,,,,,,,,,,
J1248.6-0548,BVH2007 161,NGC4697,12,48,36.5,-,5,48,1,192.152,-5.8,301.637,57.064,0.0041,400SD,400SD_SER,0.085,0.000201,0.0113,0.1583,,,,,,,,,,-0.5038525898923196
J1248.7-4118,RXCJ1248.7-4118,A3526,12,48,47.9,-,41,18,28,192.2,-41.308,302.399,21.561,0.0114,NORAS/REFLEX,REFLEX,0.233,0.693664,1.6218,0.826,L,,,,,,,,,-0.5032464096470484
J1252.0-2920,BVH2007 162,VMF98 124,12,52,4.8,-,29,20,51,193.02,-29.347,303.1,33.524,0.188,400SD,400SD_SER,3.142,0.307073,0.8715,0.6336,,160SD,,,,1.015,,,,
J1252.5-3116,RXCJ1252.5-3116,,12,52,34.1,-,31,16,4,193.142,-31.268,303.216,31.603,0.0535,NORAS/REFLEX,REFLEX,1.042,0.931025,1.8872,0.8575,,,,,,,,,,-0.48338005885138247
J1253.0+6248,BVH2007 163,A1636,12,53,4.8,,62,48,10,193.27,62.803,122.61,54.324,0.235,400SD,400SD_SER,3.734,0.527551,1.1696,0.6873,,,,,,,,,,
J1253.0-0912,RXCJ1253.0-0912,HCG 62,12,53,5.5,-,9,12,1,193.273,-9.2,303.621,53.669,0.0146,NORAS/REFLEX,REFLEX,0.298,0.037214,0.2719,0.455,,,,,,,,,,-0.5017247471496539
J1253.2-1522,RXCJ1253.2-1522,A1631,12,53,14.4,-,15,22,48,193.31,-15.38,303.575,47.49,0.0462,NORAS/REFLEX,REFLEX,0.907,0.317309,0.9838,0.6917,,,,,,,,,,-0.4868847914911305
J1253.2+1555,RX J1253.2+1556,BSe RXJ1253.2+1556,12,53,14.8,,15,55,53,193.312,15.931,305.17,78.795,0.275,SHARC,SHARC_SOUTH,4.19,0.581263,1.2028,0.6836,,,,,,,,,,
J1253.6-3931,RXCJ1253.6-3931,,12,53,40.9,-,39,31,55,193.421,-39.532,303.403,23.338,0.1794,NORAS/REFLEX,REFLEX,3.027,9.223238,6.9838,1.2717,X *,,,,,,,,,
J1254.0-0642,RXCJ1254.0-0642,A1634,12,54,2.7,-,6,42,4,193.511,-6.701,304.095,56.165,0.1962,NORAS/REFLEX,REFLEX,3.25,3.728618,3.9698,1.0473,B,,,,,,,,,
J1254.3-2901,RXCJ1254.3-2901,A3528N,12,54,23.5,-,29,1,22,193.598,-29.023,303.71,33.844,0.0542,NORAS/REFLEX,REFLEX,1.054,0.670025,1.5435,0.8018,"PB,GR4,losStr",,,,,,,,,-0.48305987204522427
J1254.6+2545,RX J1254.6+2545,VMF98 126,12,54,38.3,,25,45,13,193.66,25.754,330.638,88.45,0.193,160SD,160SD,3.208,0.157348,0.5776,0.5514,RDCS/WARPS2,WARPSII,,,,1.116,,,,
J1254.6-2913,RXCJ1254.6-2913,A3528S,12,54,41.4,-,29,13,24,193.673,-29.223,303.784,33.643,0.0544,NORAS/REFLEX,REFLEX,1.058,1.093054,2.0799,0.8855,"PB,GR4",,,,,,,,,-0.4829480081945551
J1254.7-1526,RXCJ1254.7-1526,,12,54,46.9,-,15,26,40,193.696,-15.444,304.123,47.42,0.1506,NORAS/REFLEX,REFLEX,2.623,2.011794,2.8191,0.9493,,,,,,,,,,
J1254.8+2550,RX J1254.8+2550,VMF98 127,12,54,53.6,,25,50,55,193.723,25.849,334.265,88.505,0.233,160SD,160SD,3.71,0.303865,0.8368,0.6151,RDCS/WARPS2,WARPSII,,,,0.852,,,,
J1255.5+3521,RXC J1255.5+3521,,12,55,30.7,,35,21,37,193.878,35.36,117.152,81.722,0.1585,NORAS/REFLEX,NORAS,2.737,0.665544,1.4278,0.7546,,,,,,,,,,
J1255.5-3019,RXCJ1255.5-3019,A3530,12,55,34.5,-,30,19,50,193.894,-30.33,303.991,32.533,0.0541,NORAS/REFLEX,REFLEX,1.053,0.680511,1.5583,0.8043,"B,GR5",,,,,,,,,-0.48311260622286256
J1255.7-1239,RXCJ1255.7-1239,,12,55,42.1,-,12,39,18,193.926,-12.655,304.557,50.203,0.0585,NORAS/REFLEX,REFLEX,1.132,0.237595,0.8179,0.6479,,,,,,,,,,-0.48099104441366064
J1256.0+2556,RX J1256.0+2556,VMF98 128,12,56,4.9,,25,56,52,194.02,25.948,344.535,88.428,0.232,160SD,160SD,3.698,0.228254,0.7034,0.5807,RDCS/WARPS2,WARPSII,,,,1.082,,,,
J1256.4+0440,MS1253.9+0456,ZwCl5587,12,56,26.5,,4,40,12,194.111,4.67,306.193,67.51,0.23,EMSS,EMSS_1994,3.674,1.71015,2.4053,0.8755,,,,,,,,,,
J1256.6+4715,RX J1256.6+4715,VMF98 129,12,56,39.4,,47,15,19,194.164,47.255,120.361,69.847,0.404,160SD,160SD,5.406,0.455388,0.9339,0.5984,RDCS/RIXOS/WARPS2,WARPSII,,,,1.105,,,,
J1256.9-3119,RXCJ1256.9-3119,,12,56,59.8,-,31,19,19,194.249,-31.322,304.325,31.535,0.0561,NORAS/REFLEX,REFLEX,1.089,0.389646,1.1076,0.7174,,,,,,,,,,-0.4821178109517027
J1257.1-1724,RXCJ1257.1-1724,A1644,12,57,9.7,-,17,24,1,194.291,-17.4,304.879,45.45,0.0473,NORAS/REFLEX,REFLEX,0.928,1.897483,2.9254,0.9944,L,,,,,,,,,-0.48636592793418304
J1257.1-1339,RXCJ1257.1-1339,,12,57,10.2,-,13,39,20,194.292,-13.656,305.063,49.193,0.0151,NORAS/REFLEX,REFLEX,0.308,0.019578,0.1837,0.3992,,,,,,,,,,-0.5013706921700072
J1257.2-3022,RXCJ1257.2-3022,A3532,12,57,16.9,-,30,22,37,194.32,-30.377,304.426,32.478,0.0554,NORAS/REFLEX,REFLEX,1.076,1.323277,2.3354,0.9201,"B,GR5",,,,,,,,,-0.4824617283792364
J1257.3+6930,RXC J1257.3+6930,Zw 1255.4+6946,12,57,20.1,,69,30,23,194.334,69.506,122.166,47.613,0.227,NORAS/REFLEX,NORAS,3.638,2.162318,2.7816,0.92,,,,,,,,,,
J1258.6-0145,RXCJ1258.6-0145,A1650,12,58,41.1,-,1,45,25,194.671,-1.757,306.677,61.062,0.0845,NORAS/REFLEX,REFLEX,1.587,3.470646,4.1213,1.1015,,,,,,,,,,-0.468245817068481
J1258.8-2640,RXCJ1258.8-2640,A1648,12,58,49.8,-,26,40,3,194.708,-26.668,304.978,36.175,0.0767,NORAS/REFLEX,REFLEX,1.453,0.729269,1.6005,0.8057,,,,,,,,,,-0.47209155988088525
J1259.3-0411,RXCJ1259.3-0411,A1651,12,59,21.5,-,4,11,41,194.839,-4.195,306.726,58.619,0.0845,NORAS/REFLEX,REFLEX,1.587,3.853573,4.3928,1.1252,,,,,,,,,,-0.46823235591074075
J1259.7+2756,RXC J1259.7+2756,Coma,12,59,43.1,,27,56,19,194.929,27.939,57.229,87.994,0.0231,NORAS/REFLEX,NORAS,0.466,3.455556,4.2846,1.1378,L,BCS,,,,1.396,,,,-0.497814929426476
J1259.7-3237,RX J1259.7-3236,,12,59,45.5,-,32,37,0,194.939,-32.617,304.959,30.222,0.076,SHARC,SHARC_BRIGHT,1.441,0.093313,0.4571,0.5307,,,,,,,,,,-0.47247625075461375
J1259.8+3120,BVH2007 164,,12,59,50.9,,31,20,48,194.962,31.347,99.934,85.4,0.0523,400SD,400SD_SER,1.02,0.05521,0.3373,0.4832,,,,,,,,,,-0.48392905241015205
J1301.6-0650,RXCJ1301.6-0650,,13,1,36.3,-,6,50,0,195.401,-6.833,307.443,55.949,0.0898,NORAS/REFLEX,REFLEX,1.676,0.731062,1.5884,0.8002,,,,,,,,,,-0.46561999034065793
J1301.7+1059,BVH2007 165,VMF98 130,13,1,43.4,,10,59,35,195.431,10.993,311.952,73.684,0.231,400SD,400SD_SER,3.686,0.610851,1.283,0.7098,,160SD,,,,1.018,,,,
J1302.8-0230,RXCJ1302.8-0230,A1663,13,2,50.7,-,2,30,22,195.711,-2.506,308.679,60.238,0.0847,NORAS/REFLEX,REFLEX,1.59,0.739347,1.605,0.8043,,,,,,,,,,-0.4681307452494152
J1303.0+5756,RXC J1303.0+5756,,13,3,2.7,,57,56,31,195.761,57.942,119.931,59.119,0.1961,NORAS/REFLEX,NORAS,3.249,1.490356,2.2697,0.8692,,,,,,,,,,
J1303.7-2415,RXCJ1303.7-2415,A3541,13,3,44.0,-,24,15,3,195.934,-24.251,306.516,38.535,0.1288,NORAS/REFLEX,REFLEX,2.299,3.566213,4.0606,1.0801,,,,,,,,,,
J1303.7+1916,RXC J1303.7+1916,A1668,13,3,45.6,,19,16,17,195.94,19.271,323.376,81.65,0.0643,NORAS/REFLEX,NORAS,1.236,0.937582,1.8814,0.8537,,BCS,,,,0.953,,,,-0.47813980806055195
J1304.2-3030,RXCJ1304.2-3030,,13,4,16.7,-,30,30,55,196.07,-30.515,306.203,32.275,0.0117,NORAS/REFLEX,REFLEX,0.239,0.027264,0.2254,0.4278,L,,,,,,,,,-0.5032548421179377
J1304.4+3335,RXC J1304.4+3335,A1672,13,4,27.5,,33,35,31,196.115,33.592,100.252,82.954,0.1882,NORAS/REFLEX,NORAS,3.145,2.635054,3.2319,0.9806,,eBCS,,,,1.044,,,,
