MCXC,OName,AName,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RAdeg,DEdeg,GLON,GLAT,z,Cat,Sub-Cat,Scale,L500,M500,R500,Notes,Cat1,Cat2,Cat3,Cat4,L500r1,L500r2,L500r3,L500r4,r
J0136.4-1811,RX J0136.4-1811,VMF98 15,1,36,24.2,-,18,11,59,24.101,-18.2,174.51,-76.327,0.251,160SD,160SD,3.922,0.135518,0.5044,0.5162,WARPS2,WARPSII,,,,1.413,,,,
J0137.2-0912,RXCJ0137.2-0912,,1,37,15.4,-,9,12,10,24.314,-9.203,156.198,-69.061,0.0409,NORAS/REFLEX,REFLEX,0.808,0.296426,0.9472,0.6842,losStr,SGP,,,,1.008,,,,-0.48944807693760983
J0137.4-1259,RXC J0137.4-1259,A0222,1,37,29.2,-,12,59,10,24.372,-12.986,162.495,-72.222,0.2143,SGP,SGP,3.481,1.970695,2.6543,0.9099,,,,,,,,,,
J0137.9-1248,RXC J0137.9-1248,A0223,1,37,56.4,-,12,48,1,24.485,-12.8,162.436,-72.006,0.2108,SGP,SGP,3.438,2.437859,3.03,0.9521,,,,,,,,,,
J0139.6+0119,RX J0139.6+0119,VMF98 16,1,39,39.5,,1,19,27,24.915,1.324,147.05,-59.271,0.255,160SD,160SD,3.967,0.308755,0.8307,0.6087,RDCS/WARPS2,WARPSII,,,,1.243,,,,
J0139.8+1810,BVH2007 15,"VMF98 17, A0227",1,39,53.7,,18,10,7,24.974,18.169,138.808,-43.204,0.176,400SD,400SD_SER,2.981,0.337531,0.9316,0.6506,,160SD,,,,1.01,,,,
J0141.5-3034,BVH2007 16,,1,41,32.3,-,30,34,42,25.385,-30.578,233.355,-78.508,0.442,400SD,400SD_SER,5.701,2.729783,2.6969,0.8396,see 400SD paper Sec. 4.1,,,,,,,,,
J0142.0+2131,RXJ0142.0+2131,RXJ0142.0+2131,1,42,2.6,,21,31,19,25.511,21.522,138.318,-39.833,0.2803,BCS,eBCS,4.247,5.586698,4.7601,1.0792,,NORAS,,,,1.502,,,,
J0142.8+2025,BVH2007 17,VMF98 18,1,42,50.6,,20,25,13,25.711,20.42,138.927,-40.849,0.271,400SD,400SD_SER,4.146,0.799864,1.4658,0.7313,,160SD,,,,1.016,,,,
J0142.9+4438,RXC J0142.9+4438,,1,42,57.4,,44,38,39,25.739,44.644,132.492,-17.269,0.341,CIZA,CIZAII,4.856,13.154815,7.6442,1.2354,,,,,,,,,,
J0144.4+0212,RX J0144.4+0212,VMF98 19,1,44,29.1,,2,12,37,26.121,2.21,148.561,-57.997,0.166,160SD,160SD,2.842,0.117979,0.4944,0.5286,WARPS1,WARPS,,,,1.698,,,,
J0144.6-2213,RXC J0144.6-2213,A2938,1,44,41.8,-,22,13,43,26.174,-22.229,193.774,-76.957,0.2781,SGP,SGP,4.224,3.661889,3.6857,0.9918,,,,,,,,,,
J0145.0-5300,RXCJ0145.0-5300,A2941,1,45,2.3,-,53,0,50,26.259,-53.014,285.5,-62.263,0.1168,NORAS/REFLEX,REFLEX,2.113,2.010759,2.888,0.968,,,,,,,,,,
J0145.2-6033,RXCJ0145.2-6033,RBS 0238,1,45,16.7,-,60,33,54,26.32,-60.565,291.33,-55.334,0.1805,NORAS/REFLEX,REFLEX,3.042,4.237381,4.3428,1.085,,,,,,,,,,
J0150.0-3927,MS0147.8-3941,,1,50,1.7,-,39,27,10,27.507,-39.453,261.967,-72.673,0.373,EMSS,EMSS_1994,5.145,0.977842,1.5266,0.7134,,,,,,,,,,
J0150.7+3305,A260,A0260,1,50,44.9,,33,5,24,27.687,33.09,137.006,-28.156,0.0363,BCS,eBCS,0.721,0.149289,0.6253,0.5966,,,,,,,,,,-0.4915572140741396
